Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P0 translation score,latxa_8b_instruct | P4 SFT translation score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A3v2 translation score,latxa_8b_instruct | P5 GRPO A3v5 translation score,latxa_8b_instruct | P5 GRPO A5 translation score,salamandrata_7b_instruct | P0 translation score,salamandrata_7b_instruct | P4 SFT translation score,salamandrata_7b_instruct | P5 GRPO A2 translation score,salamandrata_7b_instruct | P5 GRPO A5 translation score
Lexical Diversity,type count,closer to reference is better,7330.0,6994.0,6534.0,6689.0,6680.0,6624.0,6568.0,6594.0,6671.0,6703.0,6673.0
Lexical Diversity,yules i,closer to reference is better,100.99980555146404,113.0799029037458,102.01752408431278,104.25093406310022,104.71078646094708,107.57225258729237,104.94582254185165,107.30918865618516,108.35769345994484,108.38369590646649,108.35745087463856
Lexical Diversity,yules k,closer to reference is better,99.01009160759762,88.43304374352047,98.02237497682712,95.9224019417157,95.5011449916824,92.96077528808122,95.28726115812823,93.1886646915172,92.28694041643261,92.2647997594569,92.28714702387425
Lexical Frequency Profile,b1 top 1000,closer to reference is better,0.7247974179370965,0.7254728132387707,0.7484394394574466,0.7490691956445381,0.746206823291964,0.7537619938130276,0.7439832514108866,0.7433804892955367,0.7406939607729922,0.7422076650586539,0.739506329803658
Lexical Frequency Profile,b2 1001 2000,closer to reference is better,0.05071418761159181,0.05343158983451537,0.05389555487596467,0.05231822971548999,0.05283005506081476,0.052064945732911545,0.0530129255415984,0.05103269759666373,0.05079302069612602,0.05016287804617548,0.05107434113736673
Lexical Frequency Profile,b3 beyond 2000,closer to reference is better,0.22448839445131163,0.22109559692671396,0.1976650056665887,0.1986125746399719,0.2009631216472213,0.19417306045406085,0.20300382304751502,0.2055868131077996,0.2085130185308818,0.20762945689517062,0.20941932905897526
Morphological Diversity,morph inverse simpson optional,closer to reference is better,2.189370708452093,2.2042525955483496,2.141829206266877,2.153548686388584,2.15559965541723,2.1613720764218702,2.1470841169651194,2.1811732597646736,2.155930932424237,2.164787069583776,2.14453782697287
Morphological Diversity,morph shannon entropy,closer to reference is better,0.8013557564194811,0.806608031657771,0.7920110408197577,0.7980601663829877,0.796697217245132,0.7999526027045314,0.7953699706085587,0.803779231809912,0.7973731241017485,0.7977105210405415,0.7923613992324543
Morphological Diversity,morph simpson d,closer to reference is better,0.5074259507858805,0.5084872120240043,0.5153392835435994,0.5124072211868883,0.512823736183057,0.5109331327955008,0.5139775021587127,0.5082138408748496,0.5113312244512905,0.51176679933429,0.5128912807169199
Overall,row count,,,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
Synonym Frequency Analysis,sfa cdu,closer to reference is better,0.3561348369052462,0.3530110956648793,0.3576938336383079,0.3561628330144815,0.3559343089048946,0.3564880290553362,0.35825649364221407,0.35034631051602255,0.35242769702698545,0.3501221525684204,0.35085844432572816
Synonym Frequency Analysis,sfa ptf,closer to reference is better,0.9132021389101128,0.9166582133386714,0.9228180636914084,0.92010486474747,0.9191706168203092,0.9192781133536639,0.9235180787656898,0.9146804992115446,0.9177976358577976,0.9136060297664208,0.915877629117818
Synonym Frequency Analysis,sfa syn ttr,closer to reference is better,0.14732667450058753,0.1307090293190048,0.1298196349497786,0.13165696716811245,0.12905701754385965,0.12980769230769232,0.12844530577088717,0.13457491582491582,0.13680374804789172,0.13771567693447656,0.1369268897149938
